,id,name,year,rating,certificate,duration,genre,votes,gross_income,directors_id,directors_name,stars_id,stars_name,description
76,tt0001167,the cowboy and the squaw,(1910),11.0,not certified,0 min,"western, short",0,0,nm0001908,gilbert m. 'broncho billy' anderson,"nm0001908,nm0930290,nm0161366,nm0607104","gilbert m. 'broncho billy' anderson,clara williams,fred church,chick morrison","tom ripley, a cowpuncher from the circle a ranch, wins the hatred of jim simpson, another cowpuncher, when he defends lightfeather, a pretty squaw, from the insults of simpson. the affair ...                see full summary »"
77,tt1356045,ich bin ein star - holt mich hier raus!,(2004– ),5.2,not certified,0 min,"adventure, comedy, game-show",16.0,0,nm1170267,michael maier,"nm1542103,nm0045304,nm0629960,nm0889654","sonja zietlow,dirk bach,désirée nick,isabel varell",day 2: bathing.
78,tt8887782,remember me please,(2018),11.0,not certified,49 min,"comedy, drama, thriller",0,0,nm3532216,heidi lindén,"nm1731720,nm0750234,nm0433502,nm7094928","elmer bäck,carl-kristian rundman,jonna järnefelt,miila virtanen","jon gets invited to his best friend's memorial from high school. there is only one problem, jon doesn't remember him at all."
79,tt11158414,music voyager,(2010– ),11.0,not certified,0 min,"documentary, adventure, music",0,0,"/name/nm1461646/,/name/nm3786622/","erik wieder,mirissa neff",nm3786622,mirissa neff,"the exumas, a bahamian archipelago of 365 islands, are visited."
80,tt1826703,jingle dead,(2010),11.0,not certified,12 min,"short, horror",0,0,nm4179833,jared stanton,"nm4179833,nm4285652,nm4287002,nm4272927","jared stanton,tara blanchard,brian bentley,chris darkes",a zombie outbreak reaches a small soap factory and it's employees fight off a horde.
81,tt14109084,the box fort,(2021),11.0,not certified,0 min,"short, horror",0,0,"/name/nm9000117/,/name/nm4419407/","brian klewin,ashley heller",nm4419407,ashley heller,"a single mom and her two kids construct a massive box fort with the empty moving boxes from a recent move. after the power goes out, the mom is haunted by something inside the box fort."
82,tt9308388,the powerpuff girls,(2016–2022),3.3,tv-y7,43 min,"animation, short, action",32,0,"nm0999575,nm0102196,nm0421223,nm0442483,nm0623292,nm0708371,nm1936760,nm0893358,nm0909088,nm2857292,nm2358723","kelly armstrong,bob boyle,nick jennings,mark kausler,lynne naylor,robert c. ramirez,greg sullivan,patrick a. ventura,vincent waller,abe audish,james burks","nm3112508,nm5536223,nm4685345,nm0413996","amanda leighton,natalie palamides,kristen li,roger jackson",the powerpuff girls are sent to the arctic on a dangerous mission to find the key to saving the day.
83,tt13964202,shift,(ix) (2020),11.0,not certified,13 min,"short, horror, thriller",0,0,nm8319301,ellis senger,"nm6654050,nm11288629,nm7961443","siobhan brandman,merlyn scoggin,kelly tappan",a young nurse working a night shift faces the consequences of her past mistakes while taking care of her bedridden sister.
84,tt4060206,heavy metal greg,(2014),11.0,not certified,30 min,"short, music, news",0,0,"/name/nm1782570/,/name/nm1782570/","gregory graham,gregory graham",nm1782570,gregory graham,host gregory graham aka heavy metal greg brings his laid-back persona to this music news program and entertains music fans of all ages with a 30-minute show in which he conducts completely ...                see full summary »
85,tt2367897,scare tactics,(2003–2013),11.0,tv-14,21 min,"comedy, horror, reality-tv",0,0,anonymous,nm0000000,"nm0001147,nm0470787,nm1156557","shannen doherty,howard kremer,hannah thurston",toilet full of scary: an unsuspecting plumber is preyed upon by a cross-dressing lunatic with a dark secret.
